J_Gene,Freq_Responder,Freq_NonResponder,Fold_Change
TRBJ2-7,17.066520015581677,19.0551094185501,0.8961849102755507
TRBJ2-1,15.65882236123523,15.928470899908934,0.9831769018793155
TRBJ1-1,13.946365420896251,11.808372657780723,1.179536937964282
TRBJ2-3,10.869747867066902,11.208617343231136,0.970034402449114
TRBJ2-5,9.719453419185323,8.853749850521107,1.0966861463762954
TRBJ1-2,8.78455275238117,8.671615567881815,1.0128753002939261
TRBJ2-2,7.147712777739587,6.852112481717581,1.0425194927152523
TRBJ1-5,5.610167808559229,5.871530939831296,0.956231804891318
TRBJ1-4,3.025442435630103,3.084324493381535,0.9815087759197232
TRBJ1-6,2.8596961572832886,3.1569942324143834,0.9087201100412419
TRBJ1-3,2.710753649091451,2.4965274903183667,1.0825048683566285
TRBJ2-6,1.3962405383316912,1.5867759472362502,0.8870416612136617
TRBJ2-4,1.2045247970180946,1.4257986772267754,0.8549783247873445
