cluster,n_total,n_responder,n_nonresponder,pct_responder,enrichment
0,7516,4015,3501,53.41937200638638,0.9774101073368167
1,5240,2808,2432,53.58778625954198,0.9804915698675665
2,10658,6131,4527,57.52486395196097,1.0525279751154712
3,26443,14231,12212,53.81764550164505,0.9846972865964989
4,143,142,1,99.3006993006993,1.8168971950945823
