Test,Statistic,P_Value,Effect_Size
Attention Weight (Mann-Whitney U),6635953710.0,1.2688892264855574e-178,0.06751059814216198
CDR3 Length (KS test),0.024373673911224622,4.388029264066854e-31,0.024373673911224622
CDR3 Length (t-test),9.094468642808094,9.574714964455633e-20,0.03802571168552612
High Attention Enrichment (Chi-square),0.0,1.0,
