Group,Mean,Std,Median,Min,Max
High Attention,14.521902377972465,1.804291411601375,14.0,9,22
Low Attention,14.455194171110945,1.7826909891733411,14.0,5,25
All,14.455669896592303,1.7875871984145517,14.0,5,25
