Metric,Value
Mean AUC,0.7536274999999998
Standard Deviation,0.03518871828796837
Standard Error,0.0035188718287968374
Median,0.76481
Minimum,0.65779
Maximum,0.79415
IQR Lower (25%),0.733735
IQR Upper (75%),0.7815099999999999
95% CI Lower,0.7472020075
95% CI Upper,0.7607567525000001
99% CI Lower,0.744917042
99% CI Upper,0.7626360525000001
N Folds,100.0
N Bootstrap,1000.0
