k,seed_ARI_mean,subsample_ARI_mean,subsample_ARI_std,n_subsamples,subsample_frac
2,0.22099370028225826,0.1625082697276452,0.3672417030172919,50,0.8
3,0.15867090784324658,0.46178031514610557,0.28923243325169723,50,0.8
4,0.3328071058855876,0.34396374149888487,0.23938137925342554,50,0.8
5,0.38891243461399544,0.4284868797663372,0.22340357701821062,50,0.8
6,0.5657708001288065,0.36955354864460815,0.19245105980885913,50,0.8
