k,silhouette,davies_bouldin,calinski_harabasz,ARI_vs_response,NMI_vs_response
2,0.597378671169281,0.26962217414102085,8.907596388266029,-0.006556033599672198,0.046356282159529215
3,0.5766547918319702,0.2641933392629992,10.35140654823355,-0.0025779454895294316,0.08553483222538875
4,0.3877544403076172,0.3403992154075858,8.780826710409658,-0.008992805755395683,0.11023933498852713
5,0.15680645406246185,1.000488689448948,8.925665994937491,-0.008761190603718723,0.08877400248830979
6,0.1471194177865982,1.1955012106583647,7.976650023465905,-0.017277707543194267,0.09204617852657321
